symbol,date,open,close,high,low,volume,position,month,day
frfi,2022-07-28,123.99,124.87,125.07,122.49,414650,694536,7,28
frfi,2022-07-29,124.8,125.17,126.8,123.51,379642,685618,7,29
frfi,2022-08-01,126.35,128.38,128.45,126.02,419967,688460,8,1
frfi,2022-08-02,127.34,127.31,128.21,125.8,356557,676986,8,2
frfi,2022-08-03,127.75,126.77,128.27,125.82,330301,678885,8,3
frfi,2022-08-04,125.43,123.33,125.47,123.16,439780,687571,8,4
frfi,2022-08-05,123.98,122.3,124.22,122.04,373739,691238,8,5
frfi,2022-08-08,123.48,122.52,123.72,122.21,381745,707884,8,8
frfi,2022-08-09,122.79,124.19,124.93,122.59,438358,693922,8,9
frfi,2022-08-10,123.69,124.55,125.24,123.44,346616,683763,8,10
frfi,2022-08-11,124.68,127.14,127.18,124.29,401010,706302,8,11
frfi,2022-08-12,127.64,126.71,128.37,125.94,410343,690027,8,12
frfi,2022-08-15,127.04,126.57,127.83,125.77,362362,672693,8,15
frfi,2022-08-16,127.01,125.51,127.23,125.48,362968,676080,8,16
frfi,2022-08-17,125.56,121.56,125.75,121.52,563595,708218,8,17
frfi,2022-08-18,122.55,120.26,122.94,120.19,398160,725413,8,18
frfi,2022-08-19,120.55,119.84,121.19,118.59,511258,754793,8,19
frfi,2022-08-22,120.74,121.33,121.6,119.47,610141,755405,8,22
frfi,2022-08-23,121.3,122.86,123.36,121.3,561086,706480,8,23
frfi,2022-08-24,123.75,123.83,124.73,122.5,472936,692162,8,24
frfi,2022-08-25,124.32,126.61,127.61,123.81,620717,695471,8,25
frfi,2022-08-26,126.1,129.84,129.97,126.1,539536,716738,8,26
frfi,2022-08-29,128.92,125.09,128.92,124.5,588661,687230,8,29
frfi,2022-08-30,125.25,124.53,125.74,124.1,416520,662029,8,30
frfi,2022-08-31,124.51,123.73,124.97,123.28,396452,664492,8,31
frfi,2022-09-01,124.09,121.17,124.48,121.16,481869,680960,9,1
frfi,2022-09-02,121.1,120.87,121.56,118.55,649699,742304,9,2
frfi,2022-09-05,121.53,122.37,122.64,120.69,451713,743345,9,5
frfi,2022-09-06,122.24,121.43,122.57,121.04,402503,768788,9,6
frfi,2022-09-07,120.87,120.6,121.43,119.66,450573,780021,9,7
frfi,2022-09-08,120.88,122.74,123.37,120.32,529513,799777,9,8
frfi,2022-09-09,122.97,128.53,128.57,122.95,785711,773366,9,9
frfi,2022-09-13,128.51,128.73,130.21,127.58,568868,769128,9,13
frfi,2022-09-14,127.21,127.34,127.66,124.6,611877,736884,9,14
frfi,2022-09-15,127.97,126.91,129.36,126.42,608477,746053,9,15
frfi,2022-09-16,127.03,126.57,127.04,125.78,561724,720250,9,16
frfi,2022-09-19,127.78,128.61,129.49,126.89,542865,732745,9,19
frfi,2022-09-20,129.08,128.41,129.58,127.77,511096,733811,9,20
frfi,2022-09-21,128.31,129.0,129.99,127.38,479471,749743,9,21
frfi,2022-09-22,128.6,132.54,132.99,128.36,672292,813151,9,22
frfi,2022-09-23,132.07,130.05,132.35,129.74,548270,791352,9,23
frfi,2022-09-26,129.24,130.7,131.2,128.64,565839,785444,9,26
frfi,2022-09-27,131.79,130.43,132.33,129.81,519195,777371,9,27
frfi,2022-09-28,130.48,128.03,130.49,127.83,599578,753899,9,28
frfi,2022-09-29,129.16,129.54,129.64,128.21,464802,740035,9,29
frfi,2022-09-30,129.47,131.06,131.27,129.02,458459,729284,9,30
frfi,2022-10-10,132.69,135.33,135.79,132.69,558238,759458,10,10
frfi,2022-10-11,134.76,132.18,134.79,131.67,633426,748291,10,11
frfi,2022-10-12,131.32,132.63,132.87,130.84,586241,754744,10,12
frfi,2022-10-13,132.7,129.96,133.46,129.31,563808,748723,10,13
frfi,2022-10-14,131.1,130.01,131.51,129.94,471140,743057,10,14
frfi,2022-10-17,129.04,128.04,129.83,128.01,495531,744492,10,17
frfi,2022-10-18,128.01,127.61,128.01,126.62,459735,750614,10,18
frfi,2022-10-19,127.82,126.91,128.04,126.15,430750,773691,10,19
frfi,2022-10-20,126.93,124.36,127.1,124.21,445639,791873,10,20
frfi,2022-10-21,125.46,124.71,125.9,123.83,543716,798631,10,21
frfi,2022-10-24,125.69,124.59,126.36,124.38,481333,793845,10,24
frfi,2022-10-25,124.57,122.98,124.57,122.75,488352,814877,10,25
frfi,2022-10-26,123.47,122.26,123.65,121.99,426338,834716,10,26
frfi,2022-10-27,122.91,121.9,123.99,121.56,420548,842459,10,27
frfi,2022-10-28,121.04,122.44,122.8,120.99,441388,825199,10,28
frfi,2022-10-31,121.49,120.15,121.86,119.49,502256,841796,10,31
frfi,2022-11-01,120.26,120.41,121.25,119.42,551218,822107,11,1
frfi,2022-11-02,120.48,122.51,122.61,120.3,512656,830384,11,2
frfi,2022-11-03,121.67,126.04,126.49,121.41,630669,795417,11,3
frfi,2022-11-04,126.25,129.44,129.48,125.86,574595,790551,11,4
frfi,2022-11-07,128.59,129.12,129.2,127.16,426567,779737,11,7
frfi,2022-11-08,128.77,129.1,129.91,128.12,450851,782210,11,8
frfi,2022-11-09,129.16,129.63,130.32,128.56,374518,784299,11,9
frfi,2022-11-10,128.76,127.99,129.29,127.04,474168,773580,11,10
frfi,2022-11-11,129.28,130.48,131.67,129.27,616966,796655,11,11
frfi,2022-11-14,131.57,129.67,131.62,129.05,429467,783723,11,14
frfi,2022-11-15,129.72,131.75,132.32,129.39,418879,793227,11,15
frfi,2022-11-16,131.8,133.37,133.56,131.55,411881,807137,11,16
frfi,2022-11-17,131.95,132.64,132.66,130.96,417399,792006,11,17
frfi,2022-11-18,132.7,134.88,135.04,132.18,458120,829351,11,18
frfi,2022-11-21,133.14,130.16,133.16,129.22,615756,743978,11,21
frfi,2022-11-22,130.35,126.27,130.49,126.19,646817,723045,11,22
frfi,2022-11-23,126.98,126.48,127.08,126.14,403968,723896,11,23
frfi,2022-11-24,127.14,130.62,130.77,127.14,597595,721143,11,24
frfi,2022-11-25,130.4,132.2,132.45,129.98,422338,743377,11,25
frfi,2022-11-28,131.33,131.46,132.1,130.29,379803,751572,11,28
frfi,2022-11-29,133.04,131.51,133.87,131.04,452393,766478,11,29
frfi,2022-11-30,131.13,131.32,131.77,129.98,400628,769390,11,30
frfi,2022-12-01,132.19,130.04,132.24,129.88,386078,776583,12,1
frfi,2022-12-02,130.21,133.04,133.3,130.14,496880,814071,12,2
frfi,2022-12-05,134.27,132.85,134.46,131.59,492115,808016,12,5
frfi,2022-12-06,131.81,132.58,133.34,131.65,392795,822815,12,6
frfi,2022-12-07,133.13,130.94,133.35,130.34,470523,816065,12,7
frfi,2022-12-08,131.54,132.76,133.39,131.23,546815,839057,12,8
frfi,2022-12-09,132.85,134.85,135.24,132.76,507389,877453,12,9
frfi,2022-12-12,135.26,134.26,135.5,133.26,417441,878201,12,12
frfi,2022-12-13,134.6,134.52,135.3,132.75,446469,877049,12,13
frfi,2022-12-14,134.19,136.08,136.93,134.13,624417,944107,12,14
frfi,2022-12-15,136.75,135.59,136.85,134.53,522166,939645,12,15
frfi,2022-12-16,135.84,133.7,136.56,132.86,657568,915011,12,16
frfi,2022-12-19,132.99,129.34,132.99,129.09,754589,817138,12,19
frfi,2022-12-20,129.84,128.54,130.1,128.44,496093,803707,12,20
frfi,2022-12-21,129.15,129.69,130.27,128.58,520548,796163,12,21
frfi,2022-12-22,129.59,131.51,132.36,129.41,634597,773459,12,22
frfi,2022-12-23,130.98,128.75,130.98,127.71,580826,773445,12,23
frfi,2022-12-26,128.6,129.25,131.18,128.57,483584,753891,12,26
frfi,2022-12-27,129.67,130.66,130.85,129.36,424789,736085,12,27
frfi,2022-12-28,129.93,129.82,130.44,128.59,379605,710591,12,28
frfi,2022-12-29,129.24,132.47,132.6,129.08,679752,723406,12,29
frfi,2022-12-30,132.29,133.48,134.05,132.2,550250,741778,12,30
frfi,2023-01-03,132.75,132.3,132.85,131.44,404784,732025,1,3
frfi,2023-01-04,132.14,130.36,133.14,130.05,462750,745628,1,4
frfi,2023-01-05,129.79,129.97,131.19,129.23,404028,751641,1,5
frfi,2023-01-06,130.35,130.47,131.05,128.65,488624,752126,1,6
frfi,2023-01-09,130.88,132.52,132.96,130.6,492697,767047,1,9
